Origin,x1,y1,Destination,x2,y2,Travel Time (min),Total Distance (miles)
40,43.03334934,-83.69906431,40,43.017059300496,-83.6871113452,6,1.8
41,43.02767413,-83.71481955,41,43.007316309507,-83.72792460287,5,2.2
42,43.03410457,-83.73327836,42,43.007316309507,-83.72792460287,7,2.4
43,43.03113255,-83.72470297,43,43.007316309507,-83.72792460287,6,2.2
44,43.02932342,-83.71929366,44,43.007316309507,-83.72792460287,6,2.5
45,43.028398,-83.73529099,45,43.007316309507,-83.72792460287,6,1.9
46,43.02626402,-83.72770081,46,43.007316309507,-83.72792460287,5,1.8
47,43.02475235,-83.72253667,47,43.007316309507,-83.72792460287,6,2.1
48,43.02269068,-83.71651755,48,43.007316309507,-83.72792460287,5,1.9
49,43.02814277,-83.7093835,49,43.017059300496,-83.6871113452,7,1.8
50,43.02816285,-83.70440917,50,43.017059300496,-83.6871113452,5,1.4
51,43.02634495,-83.69815836,51,43.017059300496,-83.6871113452,4,1.0
52,43.02365342,-83.71072161,52,43.017059300496,-83.6871113452,6,1.7
53,43.019455,-83.70389023,53,43.017059300496,-83.6871113452,5,1.3
54,43.01507719,-83.7094948,54,43.017059300496,-83.6871113452,6,1.5
55,43.01820975,-83.72695795,55,43.007316309507,-83.72792460287,4,1.6
56,43.01899799,-83.71842905,56,43.007316309507,-83.72792460287,4,1.7
57,43.01315355,-83.71682156,57,43.007316309507,-83.72792460287,3,1.1
58,43.01157691,-83.73333505,58,43.007316309507,-83.72792460287,N.A.,N.A.
59,43.010702,-83.72562807,59,43.007316309507,-83.72792460287,N.A.,N.A.
60,43.07222199,-83.68865138,60,43.054632741138,-83.68490300287,4,1.5
61,43.06723454,-83.68242518,61,43.054632741138,-83.68490300287,2,1.2
62,43.07252432,-83.66957042,62,43.054632741138,-83.68490300287,5,2.0
63,43.06613713,-83.66504333,63,43.054632741138,-83.68490300287,6,2.1
64,43.06787725,-83.65463208,64,43.054632741138,-83.68490300287,7,2.3
65,43.05732261,-83.66167686,65,43.054632741138,-83.68490300287,7,2.4
66,43.05332547,-83.65716792,66,43.036421214828,-83.66481613171,5,1.7
67,43.05757948,-83.68798158,67,43.054632741138,-83.68490300287,8,0.4
68,43.04833813,-83.6904875,68,43.054632741138,-83.68490300287,2,0.7
69,43.04723069,-83.66918593,69,43.054632741138,-83.68490300287,5,1.6
